رقم السورة	اسم السورة	مواضع نهاية الركوعات العربية مختصر ع ع لون اخضر زمردي (أرقام الآيات التي ينتهي عندها الركوع)
2	البقرة	7، 20، 29، 39، 46، 59، 61، 71، 82، 86، 96، 103، 112، 121، 129، 141، 147، 163، 167، 176، 182، 188، 196، 203، 210، 216، 221، 228، 231، 235، 242، 248، 253، 257، 260، 266، 273، 281، 283، 286 (نهاية السورة)
3	آل عمران	9، 20، 30، 41، 54، 63، 71، 80، 91، 101، 109، 120، 129، 143، 148، 160، 171، 180، 189، 200 (نهاية السورة)
4	النساء	10، 14، 22، 25، 28، 33، 42، 46، 50، 59، 70، 76، 87، 91، 96، 100، 104، 112، 115، 126، 134، 141، 152، 176 (نهاية السورة)
5	المائدة	11، 19، 26، 34، 40، 43، 50، 56، 66، 77، 86، 93، 100، 108، 115، 120 (نهاية السورة)
6	الأنعام	10، 20، 30، 41، 50، 55، 60، 70، 82، 90، 94، 103، 110، 121، 129، 135، 140، 144، 150، 165 (نهاية السورة)
7	الأعراف	10، 25، 31، 39، 47، 53، 58، 64، 72، 84، 93، 99، 108، 126، 137، 141، 147، 155، 162، 171، 181، 188، 198، 206 (نهاية السورة)
8	الأنفال	10، 19، 28، 40، 44، 48، 60، 64، 69، 75 (نهاية السورة)
9	التوبة	6، 16، 24، 29، 37، 42، 59، 66، 72، 80، 89، 99، 110، 118، 122، 129 (نهاية السورة)
10	يونس	10، 20، 30، 40، 53، 60، 70، 82، 92، 103، 109 (نهاية السورة)
11	هود	8، 24، 35، 49، 60، 68، 83، 95، 109، 123 (نهاية السورة)
12	يوسف	6، 20، 29، 35، 42، 49، 57، 68، 79، 87، 93، 111 (نهاية السورة)
13	الرعد	7، 18، 26، 31، 37، 43 (نهاية السورة)
14	إبراهيم	6، 12، 21، 27، 34، 41، 52 (نهاية السورة)
15	الحجر	15، 25، 44، 60، 79، 99 (نهاية السورة)
16	النحل	9، 21، 25، 40، 50، 60، 65، 70، 76، 83، 89، 97، 100، 110، 119 Block، 128 (نهاية السورة)
17	الإسراء	10، 22، 30، 40، 52، 60، 70، 84، 93، 100، 104، 111 (نهاية السورة)
18	الكهف	12، 17، 22، 31، 44، 49، 53، 59، 74، 82، 101، 110 (نهاية السورة)
19	مريم	15، 40، 65، 74، 82، 98 (نهاية السورة)
20	طه	24، 54، 76، 89، 98، 115، 128، 135 (نهاية السورة)
21	الأنبياء	10، 29، 41، 50، 75، 93، 112 (نهاية السورة)
22	الحج	10، 22، 25، 33، 38، 48، 57، 64، 72، 78 (نهاية السورة)
23	المؤمنون	22، 32، 50، 77، 92، 118 (نهاية السورة)
24	النور	10، 20، 26، 34، 40، 45، 57، 61، 64 (نهاية السورة)
25	الفرقان	9، 20، 34، 44، 60، 77 (نهاية السورة)
26	الشعراء	9، 33، 68، 104، 122، 140، 159، 175، 191، 220، 227 (نهاية السورة)
27	النمل	14، 31، 44، 58، 66، 75، 93 (نهاية السورة)
28	القصص	13، 21، 28، 42، 50، 60، 75، 82، 88 (نهاية السورة)
29	العنكبوت	13، 22، 30، 44، 51، 63، 69 (نهاية السورة)
30	الروم	10، 19، 27، 40، 53، 60 (نهاية السورة)
31	لقمان	11، 19، 26 Block، 34 (نهاية السورة)
32	السجدة	11، 22، 30 (نهاية السورة)
33	الأحزاب	8، 20، 27، 34، 40، 52، 58، 68، 73 (نهاية السورة)
34	سبأ	9، 21، 30، 36، 45، 54 (نهاية السورة)
35	فاطر	7، 14، 26، 37، 45 (نهاية السورة)
36	يس	12، 32، 50، 67، 83 (نهاية السورة)
37	الصافات	21، 74، 113، 148، 182 (نهاية السورة)
38	ص	14، 26، 40، 64، 88 (نهاية السورة)
39	الزمر	9، 21، 31، 41، 52، 63، 70، 75 (نهاية السورة)
40	غافر	9، 20، 27، 37، 50، 60، 68، 78، 85 (نهاية السورة)
41	فصلت	8، 18، 25، 32، 44، 54 (نهاية السورة)
42	الشورى	9، 19، 29، 43، 53 (نهاية السورة)
43	الزخرف	15، 25، 35، 45، 56، 67، 89 (نهاية السورة)
44	الدخان	16، 39، 59 (نهاية السورة)
45	الجاثية	11، 21، 26، 37 (نهاية السورة)
46	الأحقاف	10، 20، 26، 35 (نهاية السورة)
47	محمد	11، 19، 31، 38 (نهاية السورة)
